name,rung,width,placement,r,k_bwd,seed,N_rung,budgets,iso_flop_rho,tokens_processed,train_flops,card_days,hours_est,status,priority,config,tag
20M_middle_r8_full_s43,20M,448,middle,8,0,43,26844608,268435456 536870912 1073741824,1.0,1234803098,9.729e+17,0.23,4.95,pending,88,configs/runs/20M_middle_r8_full_s43.yaml,
20M_middle_r8_full_s44,20M,448,middle,8,0,44,26844608,268435456 536870912 1073741824,1.0,1234803098,9.729e+17,0.23,4.95,pending,89,configs/runs/20M_middle_r8_full_s44.yaml,
20M_whole_r4_full_s42,20M,448,whole,4,0,42,26844608,268435456 536870912 1073741824,1.0,1234803098,8.616e+17,0.2,4.6,pending,90,configs/runs/20M_whole_r4_full_s42.yaml,
20M_whole_r4_full_s43,20M,448,whole,4,0,43,26844608,268435456 536870912 1073741824,1.0,1234803098,8.616e+17,0.2,4.6,pending,91,configs/runs/20M_whole_r4_full_s43.yaml,
20M_whole_r4_full_s44,20M,448,whole,4,0,44,26844608,268435456 536870912 1073741824,1.0,1234803098,8.616e+17,0.2,4.6,pending,92,configs/runs/20M_whole_r4_full_s44.yaml,
40M_middle_r2_full_s42,40M,640,middle,2,0,42,50145920,501350400 1002905600 2005811200,1.0,2306662400,1.209e+18,0.28,4.48,pending,93,configs/runs/40M_middle_r2_full_s42.yaml,
40M_middle_r2_full_s43,40M,640,middle,2,0,43,50145920,501350400 1002905600 2005811200,1.0,2306662400,1.209e+18,0.28,4.48,pending,94,configs/runs/40M_middle_r2_full_s43.yaml,
40M_middle_r2_full_s44,40M,640,middle,2,0,44,50145920,501350400 1002905600 2005811200,1.0,2306662400,1.209e+18,0.28,4.48,pending,95,configs/runs/40M_middle_r2_full_s44.yaml,
20M_middle_r4_k2_s42,20M,448,middle,4,2,42,26844608,268435456 354287616 536870912 708575232 1073741824 1417150464,1.3198,2005532672,6.933e+17,0.16,3.3,pending,96,configs/runs/20M_middle_r4_k2_s42.yaml,
20M_middle_r4_k2_s43,20M,448,middle,4,2,43,26844608,268435456 354287616 536870912 708575232 1073741824 1417150464,1.3198,2005532672,6.933e+17,0.16,3.3,pending,97,configs/runs/20M_middle_r4_k2_s43.yaml,
20M_middle_r4_k2_s44,20M,448,middle,4,2,44,26844608,268435456 354287616 536870912 708575232 1073741824 1417150464,1.3198,2005532672,6.933e+17,0.16,3.3,pending,98,configs/runs/20M_middle_r4_k2_s44.yaml,
20M_middle_r4_full_s42,20M,448,middle,4,0,42,26844608,268435456 536870912 1073741824,1.0,1234803098,5.634e+17,0.13,2.39,pending,99,configs/runs/20M_middle_r4_full_s42.yaml,
20M_middle_r4_full_s43,20M,448,middle,4,0,43,26844608,268435456 536870912 1073741824,1.0,1234803098,5.634e+17,0.13,2.39,pending,100,configs/runs/20M_middle_r4_full_s43.yaml,
20M_middle_r4_full_s44,20M,448,middle,4,0,44,26844608,268435456 536870912 1073741824,1.0,1234803098,5.634e+17,0.13,2.39,pending,101,configs/runs/20M_middle_r4_full_s44.yaml,
20M_dense_r1_s42,20M,448,dense,1,0,42,26844608,134217728 268435456 536870912 1073741824 2147483648,1.0,2550136832,5.229e+17,0.12,2.33,pending,102,configs/runs/20M_dense_r1_s42.yaml,
20M_dense_r1_s43,20M,448,dense,1,0,43,26844608,134217728 268435456 536870912 1073741824 2147483648,1.0,2550136832,5.229e+17,0.12,2.33,pending,103,configs/runs/20M_dense_r1_s43.yaml,
20M_dense_r1_s44,20M,448,dense,1,0,44,26844608,134217728 268435456 536870912 1073741824 2147483648,1.0,2550136832,5.229e+17,0.12,2.33,pending,104,configs/runs/20M_dense_r1_s44.yaml,
20M_whole_r2_full_s42,20M,448,whole,2,0,42,26844608,268435456 536870912 1073741824,1.0,1234803098,4.580e+17,0.11,1.96,pending,105,configs/runs/20M_whole_r2_full_s42.yaml,
20M_whole_r2_full_s43,20M,448,whole,2,0,43,26844608,268435456 536870912 1073741824,1.0,1234803098,4.580e+17,0.11,1.96,pending,106,configs/runs/20M_whole_r2_full_s43.yaml,
20M_whole_r2_full_s44,20M,448,whole,2,0,44,26844608,268435456 536870912 1073741824,1.0,1234803098,4.580e+17,0.11,1.96,pending,107,configs/runs/20M_whole_r2_full_s44.yaml,
20M_middle_r2_full_s42,20M,448,middle,2,0,42,26844608,268435456 536870912 1073741824,1.0,1234803098,3.586e+17,0.08,1.57,pending,108,configs/runs/20M_middle_r2_full_s42.yaml,
20M_middle_r2_full_s43,20M,448,middle,2,0,43,26844608,268435456 536870912 1073741824,1.0,1234803098,3.586e+17,0.08,1.57,pending,109,configs/runs/20M_middle_r2_full_s43.yaml,
20M_middle_r2_full_s44,20M,448,middle,2,0,44,26844608,268435456 536870912 1073741824,1.0,1234803098,3.586e+17,0.08,1.57,pending,110,configs/runs/20M_middle_r2_full_s44.yaml,
